Battle Date,Time remaining,,,Result,Stars,Star Gain,XP,,Result,Stars,Star Gain
8/30/2015,0:33,23,Isa_Kalvari,100%,3,3,3,25,Defeat,,
8/30/2015,0:37,17,Penwing,100%,3,3,3,22,Defeat,,
8/30/2015,0:41,22,ttttht,100%,3,3,2,26,Defeat,,
8/30/2015,0:43,3,dddddd,49%,0,0,0,2,Defended,,
8/30/2015,0:54,4,Go Nudi,100%,3,3,4,8,Defeat,,
8/30/2015,0:58,1,Magna,65%,1,1,5,3,Defeat,,
8/30/2015,1:04,25,Maza123,100%,3,3,2,29,Defeat,,
8/30/2015,1:04,22,ttttht,100%,3,3,3,24,Defeat,,
8/30/2015,1:25,24,Oppo_21,100%,3,2,0,17,Defeat,,
8/30/2015,1:33,11,bbbbbb,100%,3,3,3,19,Defeat,,
8/30/2015,1:43,8,Oppo_21,100%,3,3,5,5,Defeat,,
8/30/2015,1:46,28,centries,100%,3,3,2,31,Defeat,,
8/30/2015,1:49,36,alexa,50%,2,2,2,39,Defeat,,
8/30/2015,1:52,28,centries,100%,3,3,2,30,Defeat,,
8/30/2015,2:52,24,Oppo_21,Defended,,,,15,27%,0,0
8/30/2015,2:57,24,Oppo_21,100%,3,0,0,18,Defeat,,
8/30/2015,3:30,33,etdjtk,Defended,,,,33,0%,0,0
8/30/2015,4:19,10,Alabaster,100%,3,3,3,16,Defeat,,
8/30/2015,4:33,4,Go Nudi,100%,3,3,4,6,Defeat,,
8/30/2015,6:03,11,bbbbbb,100%,3,3,4,14,Defeat,,
8/30/2015,6:25,16,Kewal,84%,1,0,0,18,Defeat,,
8/30/2015,8:12,38,jimmy,Defeat,,,,19,100%,3,2
8/30/2015,8:28,10,Alabaster,100%,3,3,4,13,Defeat,,
8/30/2015,9:33,36,alexa,Defended,,,,27,0%,0,0
